clubs,score
1. FSV Mainz 05,54.7217411
Angers SCO,63.05521519
Arsenal,57.95827243
AS Monaco,58.62214102
AS Saint-Étienne,54.64151847
Atalanta,65.81954595
Athletic Club de Bilbao,56.76614021
Atlético Madrid,61.35064623
Bayer 04 Leverkusen,61.2325159
Bologna,66.68194343
Borussia Dortmund,52.99573014
Borussia Mönchengladbach,54.27263026
Bournemouth,67.44899107
Chelsea,61.93771417
Crystal Palace,34.44441805
Everton,54.68212681
FC Augsburg,54.13901949
FC Barcelona,65.55979091
FC Bayern München,55.68468061
FC Girondins de Bordeaux,56.91859521
FC Nantes,63.8708242
FC Schalke 04,47.86835296
Fiorentina,46.06166193
Genoa,47.695
Hertha BSC,48.15724185
Inter,52.82254703
Juventus,71.05780755
Lazio,59.81535661
Leicester City,69.09643389
Liverpool,56.79684937
LOSC Lille,62.99068616
Manchester City,61.45079713
Manchester United,62.32249154
Milan,45.72896197
Montpellier HSC,64.66066383
Napoli,60.61499662
OGC Nice,86.16215929
Olympique de Marseille,56.66161998
Olympique Lyonnais,73.83318988
Paris Saint-Germain,59.99239951
RC Celta,71.80925294
RCD Espanyol,65.05554608
Real Betis,73.88171877
Real Madrid,70.755
Real Sociedad,57.40446339
Roma,40.5392455
Sampdoria,44.10580525
Sassuolo,49.64691163
SD Eibar,70.38982948
Sevilla FC,66.13958113
Southampton,49.61996211
Stade Rennais FC,56.99781838
SV Werder Bremen,58.70941196
Torino,53.42694275
Tottenham Hotspur,72.68277372
TSG 1899 Hoffenheim,58.8828671
Udinese,51.73619096
Valencia CF,66.0260157
VfL Wolfsburg,45.32956219
Villarreal CF,55.7573853
Watford,55.62573961
West Ham United,50.98579848
